has_job,has_car,has_house,loan_hist,risk_tol,num_children,loan_amount,loan_purpose,fin_lit,id,qualified,group
1,1,0,2.0,0.4434760334259429,1.0,76237.0,5.0,0.966559075389419,0,1,A
1,1,1,2.0,0.40879929035294454,2.0,30379.0,2.0,0.8359095379634596,1,1,A
1,1,1,3.0,0.5356056837947525,4.0,38785.0,3.0,0.812921598080433,3,1,A
1,0,1,0.0,0.5859478452598804,4.0,80644.0,3.0,0.8297184837893458,4,0,B
1,1,1,2.0,0.47493026192896753,2.0,24621.0,3.0,0.9859095379634595,5,1,A
1,0,0,0.0,0.47245944011305396,2.0,41385.0,1.0,0.8359095379634596,6,0,A
1,1,1,1.0,0.7227800987073469,0.0,19305.0,1.0,0.5586137242425158,7,1,B
1,1,1,1.0,0.3754946762311425,0.0,42591.0,2.0,0.2993398477778347,8,0,A
0,1,0,2.0,0.22210231484686124,4.0,96752.0,4.0,0.862921598080433,9,0,A
1,1,0,2.0,0.4400789601731095,4.0,84085.0,5.0,0.967954487119275,10,0,A
0,1,1,2.0,0.41022121254468114,2.0,90173.0,5.0,0.8540463902758356,11,0,A
1,1,0,3.0,0.3647224573635518,0.0,19862.0,2.0,0.852281557163458,12,1,A
1,1,1,3.0,0.2766453499415412,4.0,25157.0,4.0,0.8574275664689035,13,1,A
1,1,0,2.0,0.3972786470632408,2.0,37549.0,4.0,0.7476280631027055,14,1,A
1,1,1,3.0,0.39915461224528975,4.0,35485.0,4.0,0.8404399911139484,15,1,A
1,1,0,3.0,0.3444859726058898,3.0,68991.0,3.0,0.9121668711480214,16,1,A
0,1,0,0.0,0.6392540814768426,2.0,49139.0,4.0,0.8335092178866377,17,0,B
1,1,1,2.0,0.2924797048521628,2.0,65255.0,3.0,0.9057607926224791,18,1,A
1,1,1,3.0,0.3489680328405545,3.0,45509.0,3.0,0.8172608377752104,21,1,A
1,1,0,2.0,0.4787185882440716,0.0,85243.0,3.0,0.5915156004648445,22,0,A
1,0,0,1.0,0.4290641844674436,4.0,91399.0,1.0,0.8283997493862193,23,0,B
1,0,1,2.0,0.4178263133969868,1.0,50319.0,5.0,0.600579181981383,24,1,A
1,1,1,1.0,0.36588287110639867,0.0,62976.0,5.0,0.741521101444109,25,0,A
1,0,1,2.0,0.36588415588557355,2.0,53573.0,5.0,0.945660673733326,27,1,A
0,1,0,0.0,0.2909655951125018,1.0,63736.0,2.0,0.8565999671409634,28,0,A
1,1,1,0.0,0.564124174345542,2.0,56984.0,3.0,0.7060392322691088,29,0,B
1,1,1,2.0,0.4309152953072804,3.0,23979.0,2.0,0.8614025296013756,30,1,A
1,1,0,1.0,0.31481678232491594,3.0,49608.0,4.0,0.9672608377752103,32,1,A
1,0,1,0.0,0.3726401713315289,2.0,81364.0,3.0,0.7283997493862192,33,0,B
0,1,0,0.0,0.2533697486935545,0.0,96646.0,1.0,0.5645810774804932,34,0,B
1,0,1,3.0,0.4977699520369949,0.0,47700.0,5.0,0.7436265806327851,36,1,A
1,1,1,1.0,0.3620907908344259,0.0,30392.0,2.0,0.9557607926224789,37,1,A
1,1,1,1.0,0.38759643595426413,3.0,66446.0,2.0,0.6014546675659871,38,0,A
1,1,1,1.0,0.44901492841423307,3.0,50668.0,3.0,1.0,39,1,A
0,1,1,3.0,0.5145713130097923,4.0,52363.0,3.0,0.9179544871192752,40,1,A
1,1,0,0.0,0.48170804673682016,2.0,21053.0,5.0,0.8133208836893648,41,0,B
1,0,1,2.0,0.4796278290235714,3.0,94343.0,3.0,0.9598440004171798,42,0,A
0,1,0,0.0,0.3673110578655283,3.0,57749.0,2.0,0.869988580219816,43,0,A
1,1,1,0.0,0.429731275717516,1.0,81932.0,5.0,0.741521101444109,45,0,A
0,1,1,2.0,0.3995849703826823,0.0,55193.0,2.0,0.8636669492803464,46,1,A
1,1,0,0.0,0.6361850461728626,2.0,45811.0,1.0,0.7166550747586534,47,0,B
1,1,1,1.0,0.36802442691902426,4.0,67008.0,3.0,0.9121668711480214,48,1,A
1,1,1,1.0,0.8507047383405975,2.0,71263.0,5.0,0.5764956599003923,50,0,B
0,1,1,1.0,0.4208918983777879,0.0,20646.0,1.0,0.9693181821839283,51,1,A
1,1,0,1.0,0.3528271865570616,1.0,71141.0,1.0,0.6195402596096451,52,0,A
1,1,0,1.0,0.3955467969675453,0.0,66482.0,2.0,0.9636669492803462,53,1,A
1,1,1,3.0,0.26842233667514026,4.0,28321.0,3.0,0.8946522466343433,54,1,A
0,0,0,0.0,0.6729008852967283,4.0,92447.0,5.0,0.8393390427938565,55,0,B
1,1,0,2.0,0.3471322411008786,1.0,72676.0,2.0,0.7549097145229615,60,1,A
1,0,0,0.0,0.5072229304024011,2.0,78202.0,4.0,0.5346015241409525,61,0,B
1,1,1,0.0,0.3854513292901747,1.0,94085.0,4.0,0.8393390427938565,62,0,A
1,1,1,1.0,0.7225871040030569,1.0,15798.0,4.0,0.8347213803256889,63,1,B
0,1,0,1.0,0.49293662422466716,4.0,89026.0,1.0,0.7166550747586534,65,0,B
0,0,0,1.0,0.4192187969784249,2.0,50425.0,3.0,0.7256720069416137,66,0,B
1,0,0,0.0,0.7683558338651681,2.0,32185.0,2.0,0.8393390427938565,67,0,B
1,1,0,1.0,0.3950769652330709,3.0,82443.0,4.0,0.8382175148131275,69,0,A
1,1,0,1.0,0.4022371992355697,3.0,20084.0,3.0,0.9870746231148857,70,1,A
1,0,0,1.0,0.28414968857205264,4.0,59207.0,4.0,0.5431626652168914,71,0,B
1,1,1,3.0,0.3035940304276529,0.0,21746.0,3.0,0.8976280631027056,72,1,A
1,1,0,3.0,0.36546951535353184,1.0,67469.0,3.0,0.9172608377752105,73,1,A
1,1,0,2.0,0.32169359548233933,0.0,25213.0,2.0,0.7636669492803463,75,1,A
1,1,1,0.0,0.6833337777862785,1.0,93948.0,4.0,0.8322720606544736,76,0,B
1,1,0,1.0,0.33066033121708377,4.0,32613.0,3.0,0.7115816314769696,77,0,B
1,1,1,1.0,0.26796951625375154,1.0,52421.0,3.0,0.9495329850015802,80,0,A
1,1,0,2.0,0.3728473902921414,2.0,58374.0,4.0,0.9415211014441089,81,0,A
0,0,0,0.0,0.8805826006325534,3.0,69836.0,1.0,0.8079441541679837,82,0,B
1,1,1,3.0,0.5389528882391319,3.0,11217.0,1.0,0.9446522466343431,83,1,A
1,1,0,0.0,0.3167401434177126,3.0,51222.0,2.0,0.5643321508914596,84,0,A
1,1,1,2.0,0.22702031107122345,2.0,31884.0,3.0,0.8859095379634596,86,1,A
1,1,1,0.0,0.37482070365448233,0.0,82465.0,4.0,0.602321744432788,87,0,A
1,1,1,2.0,0.30220790106259704,1.0,81638.0,2.0,0.8549097145229616,88,1,A
1,0,1,2.0,0.33647186606864066,2.0,40619.0,1.0,0.7598440004171798,89,1,A
1,1,1,3.0,0.29912102876126245,3.0,17992.0,1.0,0.8540463902758356,91,1,A
1,1,0,2.0,0.4418214380710883,1.0,23124.0,2.0,0.9393390427938564,92,1,A
1,1,1,2.0,0.006272540705153318,4.0,50508.0,2.0,0.5839033729608284,93,1,A
1,1,0,1.0,0.27977860316715447,3.0,93789.0,4.0,0.7598440004171798,94,0,A
1,1,1,1.0,0.6450001495064198,1.0,93386.0,1.0,0.7404399911139483,95,0,A
1,1,0,1.0,0.43747045701561643,1.0,59212.0,2.0,0.7540463902758355,96,0,A
1,1,1,3.0,0.3882562979396489,4.0,72957.0,2.0,0.7614025296013756,97,1,A
1,1,1,1.0,0.4997550477127038,3.0,80190.0,4.0,0.9686402088686924,98,1,A
1,1,1,3.0,0.24453784690555136,3.0,84976.0,5.0,0.8606283253112211,99,1,A
1,1,1,2.0,0.5809341750218019,4.0,82264.0,3.0,0.6644346250781481,101,1,A
1,1,0,1.0,0.3321489719745539,2.0,98761.0,5.0,0.8531704623105665,102,0,A
1,1,1,2.0,0.4608138183827556,1.0,99091.0,3.0,0.7636669492803463,104,0,A
1,0,1,2.0,0.2832118560712388,3.0,72573.0,4.0,0.8347213803256889,105,1,B
1,1,0,2.0,0.3039616310781191,0.0,96765.0,1.0,0.7382175148131274,106,0,A
0,1,0,0.0,0.41237341410773776,3.0,62461.0,4.0,0.5720192631192852,107,0,B
1,0,0,2.0,0.7561812574818423,0.0,18301.0,3.0,0.8893390427938566,108,1,B
