has_job,has_car,has_house,loan_hist,risk_tol,num_children,loan_amount,loan_purpose,fin_lit,id,qualified,group
1,1,0,2.0,0.4434760334259429,1.0,76237.0,5.0,0.966559075389419,0,1,A
1,1,0,1.0,0.617598580705889,2.0,46421.0,2.0,0.6027160699731149,1,0,B
1,1,1,3.0,0.38939963163617985,4.0,62350.0,3.0,0.9946522466343432,4,1,A
1,1,0,0.0,0.8642515849179921,0.0,99353.0,5.0,0.7283997493862192,5,0,B
1,0,0,0.0,0.5166227071683059,4.0,10074.0,5.0,0.5269510607016117,6,0,B
0,0,0,1.0,0.6845231413308346,3.0,77839.0,4.0,0.8382175148131275,7,0,B
0,0,1,2.0,0.40699723025232587,4.0,17989.0,3.0,0.6220785399771889,10,1,A
0,1,0,0.0,0.6680088955006208,2.0,69929.0,3.0,0.8182551695835832,11,0,B
1,1,1,2.0,0.44253236648424915,1.0,44664.0,1.0,0.9658490079305988,12,1,A
1,1,1,0.0,0.3805560450884317,1.0,97416.0,1.0,0.7582439055922502,13,0,A
1,1,0,1.0,0.7736804816284566,1.0,13101.0,2.0,0.7166550747586534,14,0,B
1,1,0,0.0,0.2341159967419867,4.0,80575.0,2.0,0.8198136987677789,15,0,B
1,0,0,1.0,0.6869179247690139,4.0,95813.0,3.0,0.742583076070073,16,0,B
0,1,1,1.0,0.9401433643084631,4.0,76162.0,4.0,0.7283997493862192,17,0,B
1,1,1,1.0,0.5094781252372859,0.0,85456.0,4.0,0.8393390427938565,18,0,A
1,1,0,0.0,0.4266304469664391,3.0,30052.0,4.0,0.8060392322691089,20,0,B
1,1,0,0.0,0.676941144402411,2.0,43862.0,3.0,0.8228143240022585,21,0,B
1,1,1,1.0,0.37679498655699867,2.0,40217.0,1.0,0.7614025296013756,22,0,A
1,1,1,3.0,0.3239679961511599,3.0,23446.0,1.0,0.595968632150353,23,1,A
1,0,0,0.0,0.2732706029267624,1.0,91987.0,2.0,0.9549097145229615,24,0,A
0,1,1,1.0,0.39130880507777444,0.0,71433.0,3.0,0.7213327672468361,25,0,B
