has_job,has_car,has_house,loan_hist,risk_tol,num_children,loan_amount,loan_purpose,fin_lit,id,qualified,group
1,1,0,2.0,0.4434760334259429,1.0,76237.0,5.0,0.966559075389419,0,1,A
1,1,1,2.0,0.40879929035294454,2.0,30379.0,2.0,0.8359095379634596,1,1,A
1,1,1,3.0,0.5356056837947525,4.0,38785.0,3.0,0.812921598080433,3,1,A
1,0,1,0.0,0.5859478452598804,4.0,80644.0,3.0,0.8297184837893458,4,0,B
1,1,1,2.0,0.47493026192896753,2.0,24621.0,3.0,0.9859095379634595,5,1,A
1,0,0,0.0,0.47245944011305396,2.0,41385.0,1.0,0.8359095379634596,6,0,A
1,1,1,1.0,0.7227800987073469,0.0,19305.0,1.0,0.5586137242425158,7,1,B
1,1,1,1.0,0.3754946762311425,0.0,42591.0,2.0,0.2993398477778347,8,0,A
0,1,0,2.0,0.22210231484686124,4.0,96752.0,4.0,0.862921598080433,9,0,A
1,1,0,2.0,0.4400789601731095,4.0,84085.0,5.0,0.967954487119275,10,0,A
0,1,1,2.0,0.41022121254468114,2.0,90173.0,5.0,0.8540463902758356,11,0,A
1,1,0,3.0,0.3647224573635518,0.0,19862.0,2.0,0.852281557163458,12,1,A
1,1,1,3.0,0.2766453499415412,4.0,25157.0,4.0,0.8574275664689035,13,1,A
1,1,0,2.0,0.3972786470632408,2.0,37549.0,4.0,0.7476280631027055,14,1,A
1,1,1,3.0,0.39915461224528975,4.0,35485.0,4.0,0.8404399911139484,15,1,A
1,1,0,3.0,0.3444859726058898,3.0,68991.0,3.0,0.9121668711480214,16,1,A
0,1,0,0.0,0.41962704073842133,2.0,49139.0,4.0,0.8679544871192751,17,0,A
1,1,1,2.0,0.2924797048521628,2.0,65255.0,3.0,0.9057607926224791,18,1,A
1,1,1,3.0,0.3489680328405545,3.0,45509.0,3.0,0.8172608377752104,21,1,A
1,1,0,2.0,0.4787185882440716,0.0,85243.0,3.0,0.5915156004648445,22,0,A
1,1,1,2.0,0.3145320922337218,2.0,84531.0,5.0,0.9621668711480212,23,1,A
1,0,1,2.0,0.4178263133969868,1.0,50319.0,5.0,0.600579181981383,24,1,A
1,1,1,1.0,0.36588287110639867,0.0,62976.0,5.0,0.741521101444109,25,0,A
1,0,0,1.0,0.3956716285562837,2.0,82340.0,5.0,0.8283997493862193,27,0,B
0,0,1,0.0,0.5693787559568052,2.0,59131.0,4.0,0.27205712406982574,28,0,B
0,0,1,1.0,0.43034292815057795,1.0,60422.0,4.0,0.8614025296013756,29,0,A
1,1,0,2.0,0.5486722907470286,2.0,64460.0,2.0,0.7382175148131274,30,0,A
1,1,1,1.0,0.5711712342408793,1.0,60940.0,4.0,0.8382175148131275,32,1,A
1,0,1,2.0,0.5198069523392812,1.0,26011.0,4.0,0.8574275664689035,33,1,A
1,0,1,2.0,0.4781489422284291,1.0,65176.0,5.0,0.9574275664689034,34,1,A
1,1,1,2.0,0.4077743907440081,4.0,81874.0,3.0,0.9446522466343431,35,0,A
1,0,1,0.0,0.39671754628747863,1.0,82924.0,1.0,0.8415211014441091,36,0,A
0,1,0,0.0,0.3633580884335351,3.0,73656.0,5.0,0.945660673733326,38,0,A
1,1,1,3.0,0.32922372922935084,0.0,67176.0,1.0,0.8574275664689035,39,1,A
1,1,1,2.0,0.250467813652294,1.0,40968.0,1.0,0.5797562028143455,40,1,A
1,1,1,1.0,0.6028508785424601,4.0,16863.0,3.0,0.8540463902758356,41,0,A
1,1,0,3.0,0.3386689187160124,1.0,38074.0,3.0,0.915849007930599,42,1,A
1,0,0,2.0,0.47242639620470167,1.0,68222.0,5.0,0.7382175148131274,43,0,A
1,0,1,3.0,0.23918114951945302,0.0,20384.0,1.0,0.8446522466343432,45,1,A
0,1,1,1.0,0.312954003923227,3.0,58929.0,3.0,1.0,46,1,A
1,1,1,2.0,0.47159370052169775,0.0,94790.0,2.0,0.8598440004171799,47,1,A
1,1,1,3.0,0.35311490955642294,1.0,18812.0,2.0,0.5841202917960353,48,1,A
1,1,1,2.0,0.42754880955693697,3.0,72739.0,5.0,0.6273888355543495,50,0,A
1,1,1,2.0,0.37547966674795585,0.0,42847.0,2.0,0.9504632361937382,51,1,A
1,1,0,2.0,0.4058397947016069,3.0,48985.0,4.0,0.766559075389419,52,1,A
1,1,0,0.0,0.5813930257299094,2.0,85718.0,3.0,0.6306770792674563,53,0,A
1,1,1,1.0,0.3173232753580653,4.0,46663.0,5.0,0.7582439055922502,54,1,A
1,1,0,3.0,0.4716532618916413,0.0,86483.0,4.0,0.6308166838569487,55,1,A
0,1,1,1.0,0.25619278630823417,2.0,89963.0,4.0,0.9476280631027054,56,0,A
1,1,0,2.0,0.3569696660406487,2.0,72793.0,2.0,0.8415211014441091,57,0,A
1,1,1,2.0,0.4152094366811667,2.0,49576.0,5.0,0.7513792845215855,58,1,A
0,1,1,2.0,0.5667254427732817,4.0,71712.0,5.0,0.8693181821839284,59,0,A
1,0,0,0.0,0.3702001978360181,3.0,83912.0,1.0,0.8297184837893458,60,0,B
1,1,0,2.0,0.4346123793716546,3.0,20518.0,5.0,0.8582439055922503,61,1,A
1,1,1,2.0,0.6077099264004274,4.0,38972.0,4.0,0.625974250951437,62,1,A
0,0,0,1.0,0.19109759845885094,1.0,43422.0,2.0,0.5569044663215361,63,0,B
0,1,0,1.0,0.8182816698744237,2.0,59894.0,4.0,0.549546402749523,64,0,B
1,1,1,3.0,0.3355712855961289,2.0,43728.0,4.0,0.9513792845215855,65,1,A
1,1,0,0.0,0.5265529846451242,0.0,12192.0,5.0,0.869988580219816,66,0,A
1,1,0,0.0,0.2835816160773927,3.0,74304.0,2.0,0.7699885802198159,68,0,A
1,1,1,2.0,0.269407113405464,0.0,88240.0,5.0,0.7370746231148857,69,0,A
0,1,1,1.0,0.40767977017506685,3.0,53544.0,5.0,0.869988580219816,70,1,A
0,0,1,2.0,0.3727660423440625,1.0,96193.0,3.0,0.9382175148131273,72,0,A
1,1,1,2.0,0.4597769776231004,4.0,95599.0,4.0,0.8446522466343432,75,0,A
1,1,0,2.0,0.3669904590218423,3.0,74154.0,2.0,0.5706254150104338,78,0,A
0,1,0,0.0,0.4641791039126395,1.0,66260.0,1.0,0.5625557046093232,80,0,B
1,1,0,0.0,0.2813785100652568,3.0,48737.0,1.0,0.7540463902758355,82,0,A
1,1,1,1.0,0.38671608968097015,0.0,17925.0,4.0,0.7404399911139483,83,1,A
1,1,0,0.0,0.13397139248533707,0.0,63744.0,1.0,0.591700340223154,87,0,A
0,1,1,2.0,0.4877596291839829,0.0,86122.0,1.0,0.8504632361937383,88,0,A
1,1,1,1.0,0.332435648422332,1.0,23848.0,2.0,0.9485880835834919,89,1,A
1,1,0,1.0,0.574134047223947,2.0,72873.0,5.0,0.9658490079305988,92,1,A
0,0,1,2.0,0.38838916017182873,0.0,38758.0,5.0,0.9513792845215855,93,0,A
0,0,0,0.0,0.3565828591867309,1.0,88861.0,2.0,0.7644031548358552,94,0,A
1,1,1,3.0,0.4026120695243339,0.0,54113.0,3.0,0.8904399911139484,95,1,A
0,0,1,2.0,0.3243974473443183,4.0,38953.0,5.0,0.6061139055941221,96,0,A
1,1,1,1.0,0.565449944289218,2.0,81568.0,4.0,0.8466524318503987,97,0,A
1,1,1,2.0,0.3478793182070916,4.0,44768.0,3.0,0.6137851114597053,98,1,A
1,1,0,2.0,0.2487093546859482,1.0,58630.0,4.0,0.9522815571634579,99,1,A
0,0,0,2.0,0.5727181856018015,0.0,72140.0,2.0,0.8495329850015804,104,0,A
1,1,0,1.0,0.643754219293972,0.0,73142.0,1.0,0.7370746231148857,105,0,B
1,0,1,0.0,0.3126541118014782,4.0,93665.0,4.0,0.9382175148131273,106,0,A
1,0,1,2.0,0.5317645934594619,2.0,70786.0,1.0,0.7565999671409633,107,0,A
1,1,1,1.0,0.4381718649048498,1.0,90541.0,4.0,0.565045564964936,108,0,A
1,1,1,2.0,0.2302856162210003,1.0,31611.0,4.0,0.8446522466343432,109,1,A
1,1,1,3.0,0.3682582185660913,0.0,77054.0,5.0,0.9658490079305988,110,1,A
1,1,1,2.0,0.3007702038929787,3.0,16564.0,1.0,0.7504632361937382,111,1,A
1,1,0,1.0,0.6303151677030319,0.0,76444.0,2.0,0.8150111363073667,112,0,B
